영업상태명,지번주소,사업장명
영업/정상,서울특별시 도봉구 창동 731-58 지상1층 ,청담 설렁탕&순대국(창동본점)
영업/정상,"서울특별시 도봉구 창동 13-2 이큐빌딩 지상2층 204,205호 ",왕차이
영업/정상,서울특별시 도봉구 창동 655-6 지상1층 좌측 ,꿍탕
영업/정상,"서울특별시 도봉구 창동 7번지 창동월가타워 102,103호 ",백번가(百番可)코다리
영업/정상,서울특별시 도봉구 창동 134-36번지 지상1층 ,육쌈냉면 창동점
영업/정상,서울특별시 도봉구 창동 826 북한산한신휴플러스 104동 108호,제주애육당
영업/정상,"서울특별시 도봉구 창동 7 월가타워, 지상1층 101호",한솔갈비
영업/정상,서울특별시 도봉구 창동 74-25 지상2층 ,창동짬뽕
영업/정상,서울특별시 도봉구 창동 338번지 신원리베르텔 지상1층 109호,고봉민김밥인
영업/정상,서울특별시 도봉구 창동 26번지 동아아파트상가 103호,피자애 창동점
영업/정상,서울특별시 도봉구 창동 650-4번지 지상1층 ,구석집
영업/정상,서울특별시 도봉구 창동 45번지 삼성래미안아파트 상가2동 B05호,삼성먹거리식당
영업/정상,서울특별시 도봉구 창동 262-6 명성빌딩 1층 ,블랙베어(BLACK BEAR)
영업/정상,서울특별시 도봉구 창동 609-148 ,꼬꼬스토리
영업/정상,서울특별시 도봉구 창동 518-6번지 지상1층 ,홍반장
영업/정상,서울특별시 도봉구 창동 13 유진빌딩 1층 6호,창고을만두
영업/정상,서울특별시 도봉구 창동 6 ,늘
영업/정상,서울특별시 도봉구 창동 661-80 1층 ,오성식당
영업/정상,서울특별시 도봉구 창동 6번지 1층 5호,와우 왕십리곱창
영업/정상,서울특별시 도봉구 창동 655-10 지상1층,후타츠
영업/정상,서울특별시 도봉구 창동 288-40번지 ,스시안
영업/정상,서울특별시 도봉구 창동 543-7번지 1층 ,깨순이네포차
영업/정상,서울특별시 도봉구 창동 647-1 북한산현대홈시티 1층 201동 104호,용추골 순대
영업/정상,서울특별시 도봉구 창동 552-22 1층 ,돈치킨 창동점
